rho2,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
0.1,Wind,main (swap dynamic),408,0.6340006,0.5735196,0.5367647058823529,0.05756882134403731
0.1,Wind,control (swap invariant),408,0.64232653,0.5343117,0.5514705882352942,0.003332241622330293
0.1,ZafNoo,main (swap dynamic),81,0.5193644,0.58881366,0.5308641975308642,0.9605710265552201
0.1,ZafNoo,control (swap invariant),81,0.5161336,0.62151885,0.4691358024691358,0.20956638773762903
0.1,CzeLan,main (swap dynamic),242,0.4838901,0.48408225,0.47107438016528924,0.6935867818297459
0.1,CzeLan,control (swap invariant),242,0.49691054,0.45132133,0.512396694214876,0.30617595762122884
0.1,Combined,main (swap dynamic),22714,0.5476698,0.6219963,0.4752135246984239,2.507514290975015e-31
0.1,Combined,control (swap invariant),22714,0.5501133,0.61542517,0.468433565202078,3.1419184408214253e-34
1,ETTh1,main (swap dynamic),34,0.47533008,0.32094732,0.5294117647058824,0.21498959220480174
1,ETTh1,control (swap invariant),34,0.45382658,0.31788862,0.5588235294117647,0.052568246610462666
1,ETTm1,main (swap dynamic),496,0.3803607,0.4678683,0.4173387096774194,5.970985257478783e-06
1,ETTm1,control (swap invariant),496,0.40199086,0.43833745,0.4657258064516129,0.050236517220458306
1,electricity,main (swap dynamic),1322,0.39287046,0.37612647,0.5211800302571861,0.0554432996273943
1,electricity,control (swap invariant),1322,0.41818315,0.4022672,0.516641452344932,0.08396761117756711
1,ETTh2,main (swap dynamic),39,0.4146089,0.478995,0.4358974358974359,0.20406957184968633
1,ETTh2,control (swap invariant),39,0.4520056,0.4534118,0.5128205128205128,0.8848204766291019
1,ETTm2,main (swap dynamic),365,0.60257345,0.6099866,0.5150684931506849,0.662829946770032
1,ETTm2,control (swap invariant),365,0.62078923,0.60520154,0.5232876712328767,0.8632236739671002
1,weather,main (swap dynamic),1236,0.7008867,0.7081022,0.49029126213592233,0.5856792481526403
1,weather,control (swap invariant),1236,0.6990883,0.70273095,0.4878640776699029,0.6032220387519385
1,exchange_rate,main (swap dynamic),42,0.7257253,0.8337168,0.42857142857142855,0.4347860694879273
1,exchange_rate,control (swap invariant),42,0.71312284,0.8340151,0.40476190476190477,0.4131330389013783
